title,date
ToDo - pack / get ready,2016-04-04T00:00:00.000Z
ToDo - arrive home / settle in,2016-04-04T00:00:00.000Z
PHIL 334 - FINISH ESSAY,2016-04-04T00:00:00.000Z
STAT 450 - do some work,2016-04-01T00:00:00.000Z
STAT 450 - meeting with jake and fred,2016-04-05T00:00:00.000Z
ToDo - get money order from bank,2016-04-05T00:00:00.000Z
ToDo - order cap and gown,2016-03-31T00:00:00.000Z
STAT 450 - do some work,2016-04-02T00:00:00.000Z
ToDo - visa application with aunt,2016-04-06T00:00:00.000Z
ToDo - collect visa documents / payments,2016-04-06T00:00:00.000Z
COMP 427 - work on assignment 8,2016-03-30T00:00:00.000Z
STAT 280 - grade homework 8,2016-03-30T00:00:00.000Z
ToDo - poop,2016-03-30T00:00:00.000Z
ToDo - buy weed from nicholas,2016-03-30T00:00:00.000Z
ToDo - pack,2016-03-30T00:00:00.000Z
ToDo - shower,2016-03-30T00:00:00.000Z
ToDo - submit timesheet,2016-03-31T00:00:00.000Z
PHIL 334 - WRITE ESSAY,2016-04-03T00:00:00.000Z
STAT 450 - work with jake,2016-03-29T00:00:00.000Z
